nombre;year;cantidad_x;diff;cantidad_y;pct_yoy;_merge
AALAN ;2012;1;0,0;;;left_only
AALIA ;2017;1;0,0;;;left_only
AALIYAH ;2011;1;0,0;;;left_only
AALIYAH ;2012;1;0,0;;;left_only
AALIYAH ;2013;1;0,0;;;left_only
AALIYAH ;2014;1;0,0;;;left_only
AALIYAH ;2016;1;0,0;;;left_only
AALIYAH ;2017;3;2,0;;;left_only
AALIYAH ;2018;2;-1,0;;;left_only
AALIYAH ;2019;4;2,0;;;left_only
AALIYAH ;2021;3;-1,0;;;left_only
AALYAH ;2016;1;0,0;;;left_only
AAMAAL ;2021;1;0,0;;;left_only
AAMAL ;2020;1;0,0;;;left_only
AAMARO ;2015;1;0,0;;;left_only
AAMINAH ;2016;1;0,0;;;left_only
AAMINAH ;2020;1;0,0;;;left_only
AAMIR ;2019;2;1,0;;;left_only
AAMIR ;2021;2;0,0;;;left_only
AAMIRA ;2021;2;1,0;;;left_only
AANG ;2021;1;0,0;;;left_only
AANISA ;2015;1;0,0;;;left_only
AANISA ;2019;1;0,0;;;left_only
AARAV ;2016;1;0,0;;;left_only
AARHON ;2016;1;0,0;;;left_only
AARIZ ;2012;1;0,0;;;left_only
AAROM ;2013;2;1,0;;;left_only
AAROM ;2014;1;-1,0;;;left_only
AAROM ;2017;1;0,0;;;left_only
AAROM ;2018;1;0,0;;;left_only
AARON ;2011;399;80,0;;;left_only
AARON ;2012;298;-101,0;;;left_only
AARON ;2013;315;17,0;;;left_only
AARON ;2014;390;75,0;;;left_only
AARON ;2015;397;7,0;;;left_only
AARON ;2016;463;66,0;;;left_only
AARON ;2017;421;-42,0;;;left_only
AARON ;2018;382;-39,0;;;left_only
AARON ;2019;380;-2,0;;;left_only
AARON ;2020;348;-32,0;;;left_only
AARON ;2021;379;31,0;;;left_only
AARONN ;2020;1;0,0;;;left_only
AAROON ;2019;1;0,0;;;left_only
AAYAN ;2012;1;0,0;;;left_only
AAYAN ;2021;1;0,0;;;left_only
ABBEY ;2013;1;-2,0;;;left_only
ABBEY ;2014;2;1,0;;;left_only
ABBEY ;2018;1;-1,0;;;left_only
ABBI ;2014;1;-1,0;;;left_only
ABBI ;2015;2;1,0;;;left_only
ABBI ;2016;2;0,0;;;left_only
ABBI ;2018;1;-1,0;;;left_only
ABBI ;2019;3;2,0;;;left_only
ABBI ;2021;2;-1,0;;;left_only
ABBIE ;2011;2;1,0;;;left_only
ABBIE ;2012;3;1,0;;;left_only
ABBIE ;2013;3;0,0;;;left_only
ABBIE ;2014;1;-2,0;;;left_only
ABBIE ;2015;3;2,0;;;left_only
ABBIE ;2016;5;2,0;;;left_only
ABBIE ;2017;3;-2,0;;;left_only
ABBIE ;2018;6;3,0;;;left_only
ABBIE ;2019;6;0,0;;;left_only
ABBIE ;2020;6;0,0;;;left_only
ABBIE ;2021;7;1,0;;;left_only
ABBIGAIL ;2011;1;0,0;;;left_only
ABBIGAIL ;2014;2;1,0;;;left_only
ABBIGAIL ;2015;1;-1,0;;;left_only
ABBIGAIL ;2016;2;1,0;;;left_only
ABBIGAIL ;2018;1;-1,0;;;left_only
ABBIGAIL ;2020;1;0,0;;;left_only
ABBY ;2011;17;2,0;;;left_only
ABBY ;2012;21;4,0;;;left_only
ABBY ;2013;28;7,0;;;left_only
ABBY ;2014;22;-6,0;;;left_only
ABBY ;2015;30;8,0;;;left_only
ABBY ;2016;36;6,0;;;left_only
ABBY ;2017;52;16,0;;;left_only
ABBY ;2018;48;-4,0;;;left_only
ABBY ;2019;45;-3,0;;;left_only
ABBY ;2020;70;25,0;;;left_only
ABBY ;2021;71;1,0;;;left_only
ABBYE ;2018;1;0,0;;;left_only
ABBYGAIL ;2015;1;0,0;;;left_only
ABBYGAIL ;2016;1;0,0;;;left_only
ABBYGAIL ;2018;2;1,0;;;left_only
ABBYGAIL ;2019;1;-1,0;;;left_only
ABBYGAIL ;2021;1;0,0;;;left_only
ABDAEL ;2013;1;0,0;;;left_only
ABDAEL ;2016;1;0,0;;;left_only
ABDALY ;2019;1;0,0;;;left_only
ABDEEL ;2012;1;0,0;;;left_only
ABDEEL ;2021;1;0,0;;;left_only
ABDEL ;2011;2;1,0;;;left_only
ABDEL ;2012;3;1,0;;;left_only
ABDEL ;2013;1;-2,0;;;left_only
ABDEL ;2014;3;2,0;;;left_only
ABDEL ;2015;2;-1,0;;;left_only
ABDEL ;2016;2;0,0;;;left_only
ABDEL ;2017;5;3,0;;;left_only
ABDEL ;2018;5;0,0;;;left_only
ABDEL ;2019;7;2,0;;;left_only
ABDEL ;2020;7;0,0;;;left_only
ABDEL ;2021;6;-1,0;;;left_only
ABDENS ;2019;1;0,0;;;left_only
ABDIAS ;2011;7;3,0;;;left_only
ABDIAS ;2012;13;6,0;;;left_only
ABDIAS ;2013;7;-6,0;;;left_only
ABDIAS ;2014;9;2,0;;;left_only
ABDIAS ;2015;5;-4,0;;;left_only
ABDIAS ;2016;12;7,0;;;left_only
ABDIAS ;2017;14;2,0;;;left_only
ABDIAS ;2018;5;-9,0;;;left_only
ABDIAS ;2019;12;7,0;;;left_only
ABDIAS ;2020;11;-1,0;;;left_only
ABDIAS ;2021;11;0,0;;;left_only
ABDIEL ;2011;28;0,0;;;left_only
ABDIEL ;2012;30;2,0;;;left_only
ABDIEL ;2013;37;7,0;;;left_only
ABDIEL ;2014;52;15,0;;;left_only
ABDIEL ;2015;45;-7,0;;;left_only
ABDIEL ;2016;45;0,0;;;left_only
ABDIEL ;2017;58;13,0;;;left_only
ABDIEL ;2018;64;6,0;;;left_only
ABDIEL ;2019;117;53,0;;;left_only
ABDIEL ;2020;110;-7,0;;;left_only
ABDIEL ;2021;76;-34,0;;;left_only
ABDIELL ;2020;1;0,0;;;left_only
ABDIELL ;2021;2;1,0;;;left_only
ABDOU ;2018;1;0,0;;;left_only
ABDRIEL ;2016;1;0,0;;;left_only
ABDRIEL ;2018;1;0,0;;;left_only
ABDRIEL ;2020;1;0,0;;;left_only
ABDUL ;2011;3;1,0;;;left_only
ABDUL ;2013;1;-2,0;;;left_only
ABDUL ;2014;1;0,0;;;left_only
ABDUL ;2015;2;1,0;;;left_only
ABDUL ;2017;1;-1,0;;;left_only
ABDUL ;2018;2;1,0;;;left_only
ABDUL ;2019;3;1,0;;;left_only
ABDUL ;2020;2;-1,0;;;left_only
ABDULLAH ;2015;1;0,0;;;left_only
ABDYEL ;2013;1;-1,0;;;left_only
ABDYEL ;2016;1;0,0;;;left_only
ABDYEL ;2018;2;1,0;;;left_only
ABDYEL ;2021;1;-1,0;;;left_only
ABDÍAS ;2012;1;-1,0;;;left_only
ABDÍAS ;2013;5;4,0;;;left_only
ABDÍAS ;2014;1;-4,0;;;left_only
ABDÍAS ;2015;3;2,0;;;left_only
ABDÍAS ;2017;2;-1,0;;;left_only
ABDÍAS ;2018;3;1,0;;;left_only
ABDÍAS ;2019;5;2,0;;;left_only
ABDÍAS ;2021;2;-3,0;;;left_only
ABDÓN ;2011;1;-2,0;;;left_only
ABDÓN ;2012;5;4,0;;;left_only
ABDÓN ;2013;3;-2,0;;;left_only
ABDÓN ;2015;3;0,0;;;left_only
ABDÓN ;2016;1;-2,0;;;left_only
ABDÓN ;2017;3;2,0;;;left_only
ABDÓN ;2018;2;-1,0;;;left_only
ABDÓN ;2019;2;0,0;;;left_only
ABDÓN ;2021;2;0,0;;;left_only
ABED ;2013;1;0,0;;;left_only
ABED ;2014;1;0,0;;;left_only
ABED ;2016;1;0,0;;;left_only
ABED ;2017;1;0,0;;;left_only
ABED ;2018;1;0,0;;;left_only
ABED ;2019;1;0,0;;;left_only
ABED ;2020;1;0,0;;;left_only
ABEL ;2011;35;-10,0;;;left_only
ABEL ;2012;40;5,0;;;left_only
ABEL ;2013;36;-4,0;;;left_only
ABEL ;2014;37;1,0;;;left_only
ABEL ;2015;44;7,0;;;left_only
ABEL ;2016;28;-16,0;;;left_only
ABEL ;2017;31;3,0;;;left_only
ABEL ;2018;36;5,0;;;left_only
ABEL ;2019;58;22,0;;;left_only
ABEL ;2020;45;-13,0;;;left_only
ABEL ;2021;38;-7,0;;;left_only
ABELARDO ;2012;2;0,0;;;left_only
ABELARDO ;2013;2;0,0;;;left_only
ABELARDO ;2015;1;-1,0;;;left_only
ABELARDO ;2019;2;1,0;;;left_only
ABELARDO ;2021;1;-1,0;;;left_only
ABELINO ;2020;1;0,0;;;left_only
ABHAY ;2014;1;0,0;;;left_only
ABHAY ;2015;1;0,0;;;left_only
ABHAY ;2018;1;0,0;;;left_only
ABHAY ;2019;1;0,0;;;left_only
ABHAY ;2021;1;0,0;;;left_only
ABHY ;2014;2;1,0;;;left_only
ABHY ;2020;1;-1,0;;;left_only
ABI ;2011;2;-1,0;;;left_only
ABI ;2012;4;2,0;;;left_only
ABI ;2013;3;-1,0;;;left_only
ABI ;2014;4;1,0;;;left_only
ABI ;2015;1;-3,0;;;left_only
ABI ;2016;5;4,0;;;left_only
ABI ;2017;4;-1,0;;;left_only
ABI ;2018;1;-3,0;;;left_only
ABI ;2019;4;3,0;;;left_only
ABI ;2020;3;-1,0;;;left_only
ABI ;2021;1;-2,0;;;left_only
ABIA ;2018;1;0,0;;;left_only
ABIANCA ;2020;1;0,0;;;left_only
ABIE ;2013;1;0,0;;;left_only
ABIE ;2014;2;1,0;;;left_only
ABIE ;2015;3;1,0;;;left_only
ABIE ;2016;1;-2,0;;;left_only
ABIEL ;2011;13;10,0;;;left_only
ABIEL ;2012;7;-6,0;;;left_only
ABIEL ;2013;9;2,0;;;left_only
ABIEL ;2014;4;-5,0;;;left_only
ABIEL ;2015;7;3,0;;;left_only
ABIEL ;2016;7;0,0;;;left_only
ABIEL ;2017;11;4,0;;;left_only
ABIEL ;2018;5;-6,0;;;left_only
ABIEL ;2019;3;-2,0;;;left_only
ABIEL ;2020;1;-2,0;;;left_only
ABIEL ;2021;7;6,0;;;left_only
ABIER ;2018;1;0,0;;;left_only
ABIGAEL ;2017;2;0,0;;;left_only
ABIGAEL ;2018;5;3,0;;;left_only
ABIGAEL ;2019;7;2,0;;;left_only
ABIGAEL ;2020;10;3,0;;;left_only
ABIGAEL ;2021;7;-3,0;;;left_only
ABIGAELA ;2019;1;-1,0;;;left_only
ABIGAELA ;2020;2;1,0;;;left_only
ABIGAELA ;2021;1;-1,0;;;left_only
ABIGAELLA ;2019;1;0,0;;;left_only
ABIGAELLA ;2020;2;1,0;;;left_only
ABIGAELLE ;2017;4;2,0;;;left_only
ABIGAELLE ;2018;7;3,0;;;left_only
ABIGAELLE ;2019;14;7,0;;;left_only
ABIGAELLE ;2020;11;-3,0;;;left_only
ABIGAELLE ;2021;10;-1,0;;;left_only
ABIGAHIL ;2011;1;0,0;;;left_only
ABIGAHIL ;2014;2;1,0;;;left_only
ABIGAHIL ;2015;1;-1,0;;;left_only
ABIGAHIL ;2016;1;0,0;;;left_only
ABIGAHIL ;2017;3;2,0;;;left_only
ABIGAHIL ;2019;2;-1,0;;;left_only
ABIGAHIL ;2020;1;-1,0;;;left_only
ABIGAIEL ;2019;1;0,0;;;left_only
ABIGAIL ;2011;161;17,0;;;left_only
ABIGAIL ;2012;144;-17,0;;;left_only
ABIGAIL ;2013;187;43,0;;;left_only
ABIGAIL ;2014;223;36,0;;;left_only
ABIGAIL ;2015;228;5,0;;;left_only
ABIGAIL ;2016;276;48,0;;;left_only
ABIGAIL ;2017;294;18,0;;;left_only
ABIGAIL ;2018;318;24,0;;;left_only
ABIGAIL ;2019;278;-40,0;;;left_only
ABIGAIL ;2020;289;11,0;;;left_only
ABIGAIL ;2021;257;-32,0;;;left_only
ABIGAILD ;2019;1;0,0;;;left_only
ABIGAILLE ;2017;1;0,0;;;left_only
ABIGAILLE ;2018;2;1,0;;;left_only
ABIGAYL ;2012;1;0,0;;;left_only
ABIGAYL ;2018;1;0,0;;;left_only
ABIGAYL ;2019;1;0,0;;;left_only
ABIGAYL ;2020;1;0,0;;;left_only
ABIGAËL ;2018;4;2,0;;;left_only
ABIGAËL ;2019;1;-3,0;;;left_only
ABIGAËL ;2020;1;0,0;;;left_only
ABIGAËLLE ;2017;1;0,0;;;left_only
ABIGAËLLE ;2018;5;4,0;;;left_only
ABIGAËLLE ;2019;2;-3,0;;;left_only
ABIGAËLLE ;2020;2;0,0;;;left_only
ABIGAËLLE ;2021;3;1,0;;;left_only
ABIHA ;2017;1;0,0;;;left_only
ABIHA ;2021;1;0,0;;;left_only
ABIHAIL ;2013;1;0,0;;;left_only
ABIHAIL ;2019;1;0,0;;;left_only
ABIHAIL ;2020;1;0,0;;;left_only
ABIMAEL ;2011;2;-2,0;;;left_only
ABIMAEL ;2012;2;0,0;;;left_only
ABIMAEL ;2014;2;0,0;;;left_only
ABIMAEL ;2015;3;1,0;;;left_only
ABIMAEL ;2016;1;-2,0;;;left_only
ABIMAEL ;2017;2;1,0;;;left_only
ABIMAEL ;2018;5;3,0;;;left_only
