nombre;year;cantidad;diff
'AKURENGA ;2017;1;
'AMAKIHI ;2019;1;0,0
'IHAN ;2018;1;0,0
'OHANA ;2019;1;0,0
'ONEI ;2016;1;0,0
'UA ;2018;1;0,0
'URA ;2021;1;0,0
.MAITE ;2010;1;0,0
/JOSÉ ;2011;1;0,0
/ROCÍO ;2013;1;0,0
A ;2016;1;0,0
A'ISHA ;2014;1;0,0
A'LÉ ;2020;1;0,0
A'MY ;2011;1;0,0
A'YLEEN ;2017;1;0,0
AABRAM ;2021;1;0,0
AADAB ;2014;1;0,0
AADEM ;2014;1;0,0
AADHVIK ;2020;1;0,0
AADRIK ;2020;1;0,0
AADVIK ;2016;1;0,0
AAGUSTÍN ;2016;1;0,0
AAHIAM ;2010;1;0,0
AAIDAN ;2011;1;0,0
AAIRIZ ;2011;1;0,0
AAKIA ;2010;1;0,0
AALAN ;2010;1;0,0
AALAN ;2012;1;0,0
AALANA ;2020;1;0,0
AALANIZ ;2016;1;0,0
AALEAHYA ;2014;1;0,0
AALEN ;2015;1;0,0
AALEYAH ;2021;1;0,0
AALEYHA ;2020;1;0,0
AALIA ;2015;1;0,0
AALIA ;2017;1;0,0
AALIAH ;2017;1;0,0
AALIYA ;2010;1;0,0
AALIYAH ;2010;1;0,0
AALIYAH ;2011;1;0,0
AALIYAH ;2012;1;0,0
AALIYAH ;2013;1;0,0
AALIYAH ;2014;1;0,0
AALIYAH ;2016;1;0,0
AALIYAH ;2017;3;2,0
AALIYAH ;2018;2;-1,0
AALIYAH ;2019;4;2,0
AALIYAH ;2021;3;-1,0
AALYA ;2018;1;-2,0
AALYAH ;2010;1;0,0
AALYAH ;2016;1;0,0
AALÍS ;2021;1;0,0
AAMAAL ;2018;1;0,0
AAMAAL ;2021;1;0,0
AAMAL ;2016;1;0,0
AAMAL ;2020;1;0,0
AAMARO ;2011;1;0,0
AAMARO ;2015;1;0,0
AAMINA ;2018;1;0,0
AAMINAH ;2014;1;0,0
AAMINAH ;2016;1;0,0
AAMINAH ;2020;1;0,0
AAMIR ;2016;1;0,0
AAMIR ;2019;2;1,0
AAMIR ;2021;2;0,0
AAMIRA ;2020;1;-1,0
AAMIRA ;2021;2;1,0
AANA ;2021;1;-1,0
AANAHÍS ;2010;1;0,0
AANAYA ;2021;1;0,0
AANG ;2018;1;0,0
AANG ;2021;1;0,0
AANISA ;2013;1;0,0
AANISA ;2015;1;0,0
AANISA ;2019;1;0,0
AANISAH ;2015;1;0,0
AANTUAN ;2017;1;0,0
AARADHYA ;2018;1;0,0
AARALYS ;2011;1;0,0
AARAN ;2017;1;0,0
AARANZA ;2013;1;0,0
AARAV ;2015;1;0,0
AARAV ;2016;1;0,0
AARES ;2014;1;0,0
AARHON ;2010;1;0,0
AARHON ;2016;1;0,0
AARIANNY ;2019;1;0,0
AARIEL ;2020;1;0,0
AARITH ;2011;1;0,0
AARIZ ;2011;1;0,0
AARIZ ;2012;1;0,0
AARLZDREW ;2019;1;0,0
AAROA ;2019;1;0,0
AAROM ;2010;1;0,0
AAROM ;2013;2;1,0
AAROM ;2014;1;-1,0
AAROM ;2017;1;0,0
AAROM ;2018;1;0,0
AARON ;2010;319;318,0
AARON ;2011;399;80,0
AARON ;2012;298;-101,0
AARON ;2013;315;17,0
AARON ;2014;390;75,0
